,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
51965,1263434215.625,19.648,8.336,3.1099999999999997e-21,64.885,2.75,92.09520699999999,0.0,0.0,0.9490000000000001,f9kwqfK1zx,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/f9kwqfK1zx.png,45.255
51966,1263443232.125,19.648,9.735,4.8800000000000004e-21,2331.049,3.0,4642.097656,0.0,0.0,0.9079999999999999,yiYmL4Noof,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/yiYmL4Noof.png,45.255
51967,1263444909.875,19.835,8.392000000000001,6.47e-21,22.289,2.25,6.90408,0.0,0.0,0.9229999999999999,3K8LsWALE4,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/3K8LsWALE4.png,45.255
51968,1263445037.375,19.835,9.035,6.229999999999999e-21,3004.2209999999995,2.0,5977.852539,0.0,0.0,0.968,oDI02XTrn6,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/NAvKHGKPr5/oDI02XTrn6.png,45.255
51969,1263457416.125,19.648,10.146,3.6399999999999994e-21,2634.22,3.0,5237.850586,0.0,0.0,0.9990000000000001,6GmVaq5vaP,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/drVxjMpUMi/6GmVaq5vaP.png,45.255
51970,1263458738.125,19.648,9.282,3.8799999999999996e-21,3426.8520000000003,2.25,6823.11377,0.0,0.0,0.995,vg01K56kxi,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/drVxjMpUMi/vg01K56kxi.png,45.255
51971,1263923189.813,38.788000000000004,13.224,1.45e-22,67.62,1.6880000000000002,77.379143,0.0,0.0,0.998,nmq2xEfzrV,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/DsF1mQrMTP/nmq2xEfzrV.png,45.255
51972,1263949028.8439999,25.146,9.168,3.59e-22,1851.941,2.0,3666.050293,0.0,0.0,0.914,pa0m09Pj1p,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/DsF1mQrMTP/pa0m09Pj1p.png,22.627
51973,1263950582.125,23.511,9.423,4.23e-22,3816.752,0.5,7588.074706999999,0.0,0.0,1.0,g4z4pCosCX,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/DsF1mQrMTP/g4z4pCosCX.png,45.255
51974,1263958396.875,24.881999999999998,19.363,9.59e-22,3881.5209999999997,13.0,7732.453125,0.0,0.0,1.0,tyBrPEseaP,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/DsF1mQrMTP/tyBrPEseaP.png,45.255
51975,1264174453.188,24.178,8.623,4.42e-22,2331.597,1.5,4617.638184,0.0,0.0,0.975,kPnA8vMGEI,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/9b9MrrsJuF/kPnA8vMGEI.png,45.255
51976,1264182915.125,32.11,11.707,4.1300000000000004e-22,3412.5570000000002,8.0,6779.556640999999,0.0,0.0,1.0,lwG5hhPhEP,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/9b9MrrsJuF/lwG5hhPhEP.png,45.255
51977,1264208316.2189999,24.316,8.463,4.41e-22,34.459,1.0,31.086579999999998,0.0,0.0,0.9990000000000001,w7anVxTttW,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/KBKZhrVg7L/w7anVxTttW.png,45.255
